terror,level,source,target,weight,time
aq,0,55757d25925689a1,exchange4,0.90284373,2019-10-22 21:15:58
aq,1,000036c7cacc5e74,55757d25925689a1,1.06025042,2019-10-19 05:35:35
aq,1,965f6ca3522c2435,55757d25925689a1,0.7501144,2019-10-21 21:18:51
aq,2,3a4295f46a716e2d,000036c7cacc5e74,2.36,2019-10-19 05:08:25
aq,2,00000b55c1bcbc1f,965f6ca3522c2435,0.81205038,2019-10-21 04:29:28
aq,2,00000b55c1bcbc1f,965f6ca3522c2435,0.0095,2019-10-21 03:52:46
aq,2,69c54aeddc619691,965f6ca3522c2435,0.0095,2019-10-21 04:13:11
aq,0,e0b1ad2596c0bd16,exchange4,1.8739086,2019-10-19 21:10:15
aq,1,e0b1ad2596c0bd16,e0b1ad2596c0bd16,2.40108063,2019-09-26 21:16:11
aq,1,02496646252672d4,e0b1ad2596c0bd16,1.35268475,2019-10-17 22:37:54
aq,2,02496646252672d4,e0b1ad2596c0bd16,4.44434421,2019-09-26 03:12:20
aq,2,02496646252672d4,e0b1ad2596c0bd16,0.34801775,2019-09-26 03:12:20
aq,2,0b5ddd1b436b322a,02496646252672d4,5.0,2019-10-17 18:01:34
aq,0,8c06ae1892b74941,exchange4,0.22279754,2019-10-07 21:24:40
aq,1,adbf84ea2c6f268f,8c06ae1892b74941,0.35,2019-10-07 17:21:57
aq,1,416c9f3475be9286,8c06ae1892b74941,0.1,2019-09-07 00:39:16
aq,2,00001012b1848923,adbf84ea2c6f268f,8.09302,2019-10-07 17:03:57
aq,2,1d15bdf78ccb98da,416c9f3475be9286,1.37,2019-09-06 06:16:25
aq,0,033c9bee69e1ea3b,exchange4,0.058499,2019-10-08 21:52:03
aq,1,a9dc7c5511e3c182,033c9bee69e1ea3b,0.11810199,2019-10-08 15:49:57
aq,2,f2d80ed526d764ca,a9dc7c5511e3c182,0.11810421,2019-10-08 15:49:57
aq,0,63207863e6606330,exchange4,0.0276151,2019-10-07 02:21:40
aq,1,20c2868b789fb7ec,63207863e6606330,0.02762775,2019-10-07 02:21:40
aq,2,660ed1e2c4d59905,20c2868b789fb7ec,0.09263831,2019-10-07 00:06:00
aq,0,4b0d0977cf08952b,exchange4,0.22046982,2019-10-06 21:30:39
aq,1,a2a5126efd8ad995,4b0d0977cf08952b,0.24194853,2019-10-03 03:11:09
aq,1,44a8113f2be2946a,4b0d0977cf08952b,0.19996664,2019-10-06 16:32:32
